"id","date","symbol","price","created_at"
12880,"2020-01-22","META",221.08543395996094,"2024-04-06 16:49:30.985637+00"
12881,"2020-01-23","META",219.52706909179688,"2024-04-06 16:49:30.985639+00"
12882,"2020-01-24","META",217.70901489257812,"2024-04-06 16:49:30.98564+00"
12883,"2020-01-27","META",214.6422576904297,"2024-04-06 16:49:30.985641+00"
12884,"2020-01-28","META",217.5591583251953,"2024-04-06 16:49:30.985643+00"
12885,"2020-01-29","META",222.99339294433594,"2024-04-06 16:49:30.985644+00"
12886,"2020-01-30","META",209.30792236328125,"2024-04-06 16:49:30.985645+00"
12887,"2020-01-31","META",201.6959991455078,"2024-04-06 16:49:30.985647+00"
12888,"2020-02-03","META",203.9735870361328,"2024-04-06 16:49:30.985648+00"
12889,"2020-02-04","META",209.60760498046875,"2024-04-06 16:49:30.985649+00"
12890,"2020-02-05","META",209.88731384277344,"2024-04-06 16:49:30.985651+00"
12891,"2020-02-06","META",210.62652587890625,"2024-04-06 16:49:30.985652+00"
12892,"2020-02-07","META",212.10494995117188,"2024-04-06 16:49:30.985653+00"
12893,"2020-02-10","META",212.8341827392578,"2024-04-06 16:49:30.985655+00"
12894,"2020-02-11","META",206.97039794921875,"2024-04-06 16:49:30.985656+00"
12895,"2020-02-12","META",210.53660583496094,"2024-04-06 16:49:30.985657+00"
12896,"2020-02-13","META",212.91409301757812,"2024-04-06 16:49:30.985659+00"
12897,"2020-02-14","META",213.95298767089844,"2024-04-06 16:49:30.98566+00"
12898,"2020-02-18","META",217.56915283203125,"2024-04-06 16:49:30.985661+00"
12899,"2020-02-19","META",217.25949096679688,"2024-04-06 16:49:30.985662+00"
12900,"2020-02-20","META",214.35256958007812,"2024-04-06 16:49:30.985664+00"
12901,"2020-02-21","META",209.9572296142578,"2024-04-06 16:49:30.985665+00"
12902,"2020-02-24","META",200.50726318359375,"2024-04-06 16:49:30.985666+00"
12903,"2020-02-25","META",196.5614471435547,"2024-04-06 16:49:30.985668+00"
12904,"2020-02-26","META",196.99098205566406,"2024-04-06 16:49:30.985669+00"
12905,"2020-02-27","META",189.54888916015625,"2024-04-06 16:49:30.985671+00"
12906,"2020-02-28","META",192.26600646972656,"2024-04-06 16:49:30.985673+00"
12907,"2020-03-02","META",196.23179626464844,"2024-04-06 16:49:30.985674+00"
12908,"2020-03-03","META",185.69297790527344,"2024-04-06 16:49:30.985675+00"
12909,"2020-03-04","META",191.55674743652344,"2024-04-06 16:49:30.985677+00"
12910,"2020-03-05","META",184.97373962402344,"2024-04-06 16:49:30.985678+00"
12911,"2020-03-06","META",180.89805603027344,"2024-04-06 16:49:30.985679+00"
12912,"2020-03-09","META",169.32034301757812,"2024-04-06 16:49:30.98568+00"
12913,"2020-03-10","META",178.0011444091797,"2024-04-06 16:49:30.985682+00"
12914,"2020-03-11","META",170.0595703125,"2024-04-06 16:49:30.985683+00"
12915,"2020-03-12","META",154.3062744140625,"2024-04-06 16:49:30.985684+00"
12916,"2020-03-13","META",170.09951782226562,"2024-04-06 16:49:30.985686+00"
12917,"2020-03-16","META",145.85523986816406,"2024-04-06 16:49:30.985687+00"
12918,"2020-03-17","META",149.26162719726562,"2024-04-06 16:49:30.985688+00"
12919,"2020-03-18","META",146.8042449951172,"2024-04-06 16:49:30.98569+00"
12920,"2020-03-19","META",152.9676971435547,"2024-04-06 16:49:30.985691+00"
12921,"2020-03-20","META",149.57130432128906,"2024-04-06 16:49:30.985692+00"
12922,"2020-03-23","META",147.9430389404297,"2024-04-06 16:49:30.985694+00"
12923,"2020-03-24","META",160.8093719482422,"2024-04-06 16:49:30.985695+00"
12924,"2020-03-25","META",156.04444885253906,"2024-04-06 16:49:30.985696+00"
12925,"2020-03-26","META",163.1668701171875,"2024-04-06 16:49:30.985698+00"
12926,"2020-03-27","META",156.62380981445312,"2024-04-06 16:49:30.985699+00"
12927,"2020-03-30","META",165.77410888671875,"2024-04-06 16:49:30.9857+00"
12928,"2020-03-31","META",166.6232147216797,"2024-04-06 16:49:30.985702+00"
12929,"2020-04-01","META",159.43084716796875,"2024-04-06 16:49:30.985703+00"
12930,"2020-04-02","META",158.0223388671875,"2024-04-06 16:49:30.985704+00"
12931,"2020-04-03","META",154.01658630371094,"2024-04-06 16:49:30.985705+00"
12932,"2020-04-06","META",165.37454223632812,"2024-04-06 16:49:30.985707+00"
12933,"2020-04-07","META",168.65106201171875,"2024-04-06 16:49:30.985708+00"
12934,"2020-04-08","META",174.09527587890625,"2024-04-06 16:49:30.985709+00"
12935,"2020-04-09","META",175.0043182373047,"2024-04-06 16:49:30.985711+00"
12936,"2020-04-13","META",174.604736328125,"2024-04-06 16:49:30.985712+00"
12937,"2020-04-14","META",177.9811553955078,"2024-04-06 16:49:30.985714+00"
12938,"2020-04-15","META",176.7824249267578,"2024-04-06 16:49:30.985715+00"
12939,"2020-04-16","META",176.06320190429688,"2024-04-06 16:49:30.985716+00"
12940,"2020-04-17","META",179.05003356933594,"2024-04-06 16:49:30.985718+00"
12941,"2020-04-20","META",178.05108642578125,"2024-04-06 16:49:30.985719+00"
12942,"2020-04-21","META",170.6189727783203,"2024-04-06 16:49:30.98572+00"
12943,"2020-04-22","META",182.08680725097656,"2024-04-06 16:49:30.985722+00"
12944,"2020-04-23","META",184.9337921142578,"2024-04-06 16:49:30.985723+00"
12945,"2020-04-24","META",189.86856079101562,"2024-04-06 16:49:30.985725+00"
12946,"2020-04-27","META",187.30126953125,"2024-04-06 16:49:30.985726+00"
12947,"2020-04-28","META",182.7161407470703,"2024-04-06 16:49:30.985727+00"
12948,"2020-04-29","META",193.9841766357422,"2024-04-06 16:49:30.985728+00"
12949,"2020-04-30","META",204.4930419921875,"2024-04-06 16:49:30.985732+00"
12950,"2020-05-01","META",202.0556182861328,"2024-04-06 16:49:30.985733+00"
12951,"2020-05-04","META",205.0424346923828,"2024-04-06 16:49:30.985734+00"
12952,"2020-05-05","META",206.8505401611328,"2024-04-06 16:49:30.985736+00"
12953,"2020-05-06","META",208.24903869628906,"2024-04-06 16:49:30.985737+00"
12954,"2020-05-07","META",211.0360870361328,"2024-04-06 16:49:30.985738+00"
12955,"2020-05-08","META",212.12493896484375,"2024-04-06 16:49:30.985739+00"
12956,"2020-05-11","META",212.95404052734375,"2024-04-06 16:49:30.985741+00"
12957,"2020-05-12","META",209.8773193359375,"2024-04-06 16:49:30.985742+00"
12958,"2020-05-13","META",204.88262939453125,"2024-04-06 16:49:30.985743+00"
12959,"2020-05-14","META",206.59080505371094,"2024-04-06 16:49:30.985745+00"
12960,"2020-05-15","META",210.656494140625,"2024-04-06 16:49:30.985746+00"
12961,"2020-05-18","META",212.96405029296875,"2024-04-06 16:49:30.985747+00"
12962,"2020-05-19","META",216.65013122558594,"2024-04-06 16:49:30.985749+00"
12963,"2020-05-20","META",229.72625732421875,"2024-04-06 16:49:30.98575+00"
12964,"2020-05-21","META",231.14474487304688,"2024-04-06 16:49:30.985751+00"
12965,"2020-05-22","META",234.66102600097656,"2024-04-06 16:49:30.985753+00"
12966,"2020-05-26","META",231.95388793945312,"2024-04-06 16:49:30.985754+00"
12967,"2020-05-27","META",228.8971405029297,"2024-04-06 16:49:30.985755+00"
12968,"2020-05-28","META",225.22103881835938,"2024-04-06 16:49:30.985757+00"
